model_used,a2c_sr,ppo_sr,ddpg_sr
 ,0.3990362423056659,0.6224416052132603,0.2621226355459879
PPO,0.20588201492749159,0.203311546984203,-0.8246488070023432
A2C,0.5205286600495173,0.611608495946394,0.5362583192944513
PPO,0.23614570010933078,0.364958436193259,0.6512661354851152
DDPG,-0.207424873475616,-0.4797206041882587,-0.6205627685649133
A2C,0.159224325003067,0.07344468588176396,0.13177039539214894
A2C,-1.7647761483119704,-1.05488866000331,-1.0118442662362697
DDPG,-0.26566387873782205,-0.21196098241948275,-0.19900301640790202
DDPG,-0.8721599085788084,-0.5035057734115316,-0.6616284080856506
PPO,0.618489511384727,0.6227419653110942,0.6225151989314905
PPO,0.7902422170098732,0.36815388522711,0.5417855485938654
A2C,0.010322760293897348,0.3945853220830168,0.6777268184360362
DDPG,-0.459381793633036,-0.23588055718765175,0.12963144420479497
DDPG,0.3594189444610935,0.03737182941015518,0.34492912589106167
A2C,-0.7098764247995042,-0.6250014627074055,-0.45424168255034514
DDPG,-0.374812183029503,-0.4710732656786129,-0.6996561954433017
A2C,0.5474732875874398,0.5105315543454346,0.665001205894876
DDPG,-0.30107461302102073,-0.3993178282853817,-0.3602975239017492
A2C,0.11299843884155066,0.10526383381859866,0.302821341041578
DDPG,1.667124656776135,1.7454588213174962,1.3832009425657086
PPO,-1.299262611596214,-0.8306553015727036,-1.5257162558641895
PPO,0.05787871967562345,0.38260633215433737,0.20502638148393848
PPO,-0.5081784982274818,-0.2718076926253014,-0.3023542976497079
PPO,-0.5326148222892595,-0.37904555044070276,-0.5842987915555453
PPO,0.019636680492521607,0.3531447893453492,0.2141653115524579
PPO,-0.11287754124068267,-0.43439947168838156,-0.05626419756983872
DDPG,0.7571960792327208,-0.0651340833353304,0.922579651124158
DDPG,0.32297331495709203,0.5684916611030733,0.7321050217845114
DDPG,0.7791040853796133,0.530936306513061,0.5507564890231668
A2C,-0.9905241619057504,-0.9307422321823773,-0.9166045244802121
DDPG,-0.3265776554777994,0.10681520258753954,0.01881615663394927
