account_value,datadate,daily_return
1000000.0,20160104.0,
1000565.3324747677,20160105.0,0.0005653324747676436
999798.4441492264,20160106.0,-0.0007664550236259338
999165.681784625,20160107.0,-0.0006328899272690647
999106.58699308,20160108.0,-5.914413657559514e-05
996129.7694147712,20160111.0,-0.0029794794840336536
997645.4529156092,20160112.0,0.0015215723366328593
996083.1323791995,20160113.0,-0.0015660077754515722
990297.7013014331,20160114.0,-0.00580818095367952
985676.1514479936,20160115.0,-0.004666828820632407
991987.3283523249,20160119.0,0.006402890944515516
991149.912812724,20160120.0,-0.0008441796741414098
997309.2148901278,20160121.0,0.006214299166838133
996684.5807363028,20160122.0,-0.0006263194448612452
996659.6895572231,20160125.0,-2.497397828837844e-05
995516.6929245959,20160126.0,-0.0011468273921412253
996032.7034793823,20160127.0,0.0005183344071011398
995525.7914028885,20160128.0,-0.0005089311573034383
995672.4709928692,20160129.0,0.00014733881457162923
994299.8424513795,20160201.0,-0.0013785944489566049
1001431.3156423834,20160202.0,0.007172356754499454
1001431.3156423834,20160203.0,0.0
981532.5962442649,20160204.0,-0.01987027875731473
999084.4680797269,20160205.0,0.01788210794284617
990802.6393989007,20160208.0,-0.008289417907521024
980541.7615146536,20160209.0,-0.010356126917942188
980864.2408174518,20160210.0,0.00032887870303466293
980040.644029604,20160211.0,-0.0008396644036705592
980040.644029604,20160212.0,0.0
980040.644029604,20160216.0,0.0
980169.7564399836,20160217.0,0.000131741893732773
981257.6869803757,20160218.0,0.0011099409395607385
978790.1619820492,20160219.0,-0.002514655458057846
974157.5543596399,20160222.0,-0.004732993651088924
976747.3380641412,20160223.0,0.002658485470765193
980327.2380583698,20160224.0,0.00366512388078144
984224.2946363344,20160225.0,0.003975260940094927
983295.3323810585,20160226.0,-0.0009438521893214702
981902.3280782416,20160229.0,-0.001416669292473638
987211.0789656964,20160301.0,0.005406597719189721
982835.0148751407,20160302.0,-0.00443275423442413
978009.2250478296,20160303.0,-0.004910071125136195
978009.2250478296,20160304.0,0.0
966277.0235896738,20160307.0,-0.011996002857316612
954030.256025938,20160308.0,-0.012674178589323848
937704.9710654045,20160309.0,-0.017111915327022498
930279.6005929515,20160310.0,-0.00791866386718243
931902.8173063148,20160311.0,0.0017448697276911673
934833.0576265956,20160314.0,0.003144362551398494
910660.5642157464,20160315.0,-0.02585755094307396
924159.2895290724,20160316.0,0.014823004139803642
901424.977521445,20160317.0,-0.02459999295057902
898999.8436165552,20160318.0,-0.0026903335999829414
884793.6883273914,20160321.0,-0.015802177708968634
891790.6893587118,20160322.0,0.007908059385626443
904062.5902775887,20160323.0,0.013760965510529743
888029.2041551288,20160324.0,-0.017734818689419396
900438.9416725968,20160328.0,0.013974470050537091
899538.5068089062,20160329.0,-0.0009999954711177317
899538.5068089062,20160330.0,0.0
899538.5068089062,20160331.0,0.0
899538.5068089062,20160401.0,0.0
899538.5068089062,20160404.0,0.0
899538.5068089062,20160405.0,0.0
900012.2810239777,20160406.0,0.0005266858633459215
898012.222837886,20160407.0,-0.0022222565494508517
895087.1039079335,20160408.0,-0.0032573264099998722
895720.513839928,20160411.0,0.0007076517237585289
894766.2799247727,20160412.0,-0.0010653255121561012
888936.1580572096,20160413.0,-0.006515804180789231
893829.2676873087,20160414.0,0.0055044556189425276
897366.8852660209,20160415.0,0.003957822490938678
902288.8043060529,20160418.0,0.005484845853848119
900731.9671720306,20160419.0,-0.0017254310666301453
900696.8022062285,20160420.0,-3.904043276325986e-05
906210.085403878,20160421.0,0.006121131088891341
902720.40187645,20160422.0,-0.0038508548775118
904520.176214935,20160425.0,0.0019937229010709157
910026.5867267428,20160426.0,0.00608765913309961
908588.8354444108,20160427.0,-0.001579900305444304
904484.0692645905,20160428.0,-0.004517737858634963
913958.2677270202,20160429.0,0.010474699095731843
914121.2788694229,20160502.0,0.0001783573147251527
915206.8287557864,20160503.0,0.0011875337676268138
915206.8287557864,20160504.0,0.0
916628.8382566016,20160505.0,0.001553757529047628
914043.5498106906,20160506.0,-0.0028204310600004057
916044.4301690295,20160509.0,0.002189042697969157
915010.7020009964,20160510.0,-0.0011284694650043336
927987.5096919977,20160511.0,0.01418213761065612
929232.7453682593,20160512.0,0.0013418668497757746
931734.5659855464,20160513.0,0.002692350898908291
937616.8683601244,20160516.0,0.006313281259835879
945424.8385222816,20160517.0,0.008327463408175584
950861.8763974932,20160518.0,0.0057508938348920235
952045.3550454231,20160519.0,0.001244637814709515
950623.1364662895,20160520.0,-0.0014938559088560899
946539.8213647066,20160523.0,-0.004295408921732746
946665.0615240731,20160524.0,0.00013231367190225107
947744.7991351348,20160525.0,0.0011405698329283176
952546.3210969764,20160526.0,0.005066260417596835
958435.8904536322,20160527.0,0.006182974230453331
956472.7171949708,20160531.0,-0.0020483094155960835
963888.2354193272,20160601.0,0.007752984576605337
962696.5742592027,20160602.0,-0.001236306364509221
962696.5742592027,20160603.0,0.0
961953.7086829958,20160606.0,-0.0007716507943102968
953156.8255717726,20160607.0,-0.009144809185534397
954762.9089115236,20160608.0,0.001685014781054095
953292.259637448,20160609.0,-0.0015403292904960786
961983.6466939505,20160610.0,0.009117232379299844
970922.320112085,20160613.0,0.009291918265818655
972907.2417794464,20160614.0,0.0020443671200516267
971133.3492786756,20160615.0,-0.001823290468602412
974886.7600373102,20160616.0,0.0038649797799885643
972977.2706449608,20160617.0,-0.0019586781466560677
973104.9384276012,20160620.0,0.00013121353035905337
968779.1519043342,20160621.0,-0.00444534433280841
966975.1169794815,20160622.0,-0.001862173562784064
965486.5558304515,20160623.0,-0.0015393996421332323
966011.5375445904,20160624.0,0.0005437483421892875
967660.5045799271,20160627.0,0.0017069848249722241
954282.1896882736,20160628.0,-0.013825422065211979
950045.0404215808,20160629.0,-0.004440142876476538
956949.6277990685,20160630.0,0.007267642147180453
