model_used,a2c_sr,ppo_sr,ddpg_sr
 ,-0.005801268971010925,-0.0970985175951143,0.008576752137388191
DDPG,0.14950962446530003,0.127895111798558,0.07428216894971736
A2C,-0.043019291725084265,-0.025143203769570566,0.1120040216462113
DDPG,-0.13982842175440502,-0.0991157830343939,0.0644542123744716
DDPG,0.5215430749976095,0.39942955957443654,0.24794377081965252
A2C,0.1746440967530517,0.27542609354348635,0.18670056896082474
PPO,0.10637481240082827,0.2564674574806226,0.41163934273982333
DDPG,0.3134433431492593,0.24863282761327118,0.3453738860900972
DDPG,0.6254063276130136,0.48232123295553314,0.4268859222396592
A2C,-0.03202713173872134,0.06924740472001739,-0.005069955505910583
PPO,-0.0974714375335503,-0.07483082147183596,4.235804959654489e-05
DDPG,0.10326324399758269,-0.04049567855994965,0.236819839086098
DDPG,-0.4021663624338441,-0.3672917512523003,-0.38384718137324847
PPO,-0.008795424114266672,0.0526956824607867,-0.032821902016625916
PPO,0.37168157642285576,0.04893597584271292,0.47542340740096
DDPG,0.00575229227499028,-0.2226902148437739,0.04078947665811905
DDPG,-0.2053411500311316,-0.38711558204357616,-0.14081200596394458
DDPG,-0.4303348673130704,-0.47173242785884284,-0.42019981876390755
DDPG,0.0,0.0,0.0
