account_value,datadate,daily_return
1000000.0,20160104.0,
999978.3436843456,20160105.0,-2.165631565442805e-05
1000940.774889132,20160106.0,0.0009624520479518672
999308.2905630269,20160107.0,-0.0016309499693285545
1005549.1129423064,20160108.0,0.006245142203076703
1005283.8615868463,20160111.0,-0.0002637875684500246
1005283.8615868463,20160112.0,0.0
1005283.8615868463,20160113.0,0.0
1006322.9141118276,20160114.0,0.0010335911722896274
1006255.0854209841,20160115.0,-6.740251055836755e-05
1006255.0854209841,20160119.0,0.0
1007360.8692293736,20160120.0,0.001098910032267808
1007247.994017218,20160121.0,-0.00011205042364015316
1007247.994017218,20160122.0,0.0
1007247.994017218,20160125.0,0.0
1007247.994017218,20160126.0,0.0
1007247.994017218,20160127.0,0.0
1007247.994017218,20160128.0,0.0
1007247.994017218,20160129.0,0.0
1007247.994017218,20160201.0,0.0
1007247.994017218,20160202.0,0.0
1008210.8547899302,20160203.0,0.0009559321819763156
1008132.8621065482,20160204.0,-7.735751208337582e-05
1008132.8621065482,20160205.0,0.0
1008132.8621065482,20160208.0,0.0
1008132.8621065482,20160209.0,0.0
1008132.8621065482,20160210.0,0.0
1008132.8621065482,20160211.0,0.0
1008132.8621065482,20160212.0,0.0
1007919.2179101787,20160216.0,-0.00021192067474418153
1007919.2179101787,20160217.0,0.0
1009666.6551594391,20160218.0,0.001733707640661386
1006374.5019986804,20160219.0,-0.003260633738804364
997713.2425242885,20160222.0,-0.008606397973309643
1010582.4998930219,20160223.0,0.01289875369016169
1002610.8400448579,20160224.0,-0.007888183150814299
993379.789729256,20160225.0,-0.009207012279249804
984780.4610080707,20160226.0,-0.008656637481550655
983795.7533776795,20160229.0,-0.0009999260438039448
983795.7533776795,20160301.0,0.0
983795.7533776795,20160302.0,0.0
984412.1391830285,20160303.0,0.0006265383879049402
985375.7913332323,20160304.0,0.0009789112830358437
982710.3126179231,20160307.0,-0.0027050377518436086
978459.605288157,20160308.0,-0.004325493764731458
980667.8960581135,20160309.0,0.0022569054031680302
983430.6408171108,20160310.0,0.0028172073034127276
987216.0078393628,20160311.0,0.0038491448864221844
985738.1739190028,20160314.0,-0.001496971188295948
985098.2028653752,20160315.0,-0.0006492302627210123
985098.2028653752,20160316.0,0.0
986334.7136739744,20160317.0,0.001255215779505603
980821.5296627906,20160318.0,-0.00558956704529634
970218.4386410235,20160321.0,-0.010810418308632053
968631.6596426844,20160322.0,-0.0016354863349758997
959056.3168169134,20160323.0,-0.00988543243497031
943442.3291042277,20160324.0,-0.0162805743926574
937751.3846015465,20160328.0,-0.006032106390736813
939050.8202142138,20160329.0,0.0013856930888132002
943463.33702867,20160330.0,0.00469891162381364
943463.33702867,20160331.0,0.0
939025.9877815784,20160401.0,-0.004703255625243985
920245.5187446115,20160404.0,-0.019999945988007473
920999.458912205,20160405.0,0.0008192815419758581
908486.0326927636,20160406.0,-0.013586789979465386
911805.6937013724,20160407.0,0.00365405838851407
927510.5727896388,20160408.0,0.017223931805595782
911860.1118554028,20160411.0,-0.016873619981672694
933602.6377126031,20160412.0,0.02384414623966813
912628.8322890193,20160413.0,-0.022465452191706814
912628.8322890193,20160414.0,0.0
944156.2088123544,20160415.0,0.03454567224690841
939229.6235766986,20160418.0,-0.0052179768450104635
915573.9330867695,20160419.0,-0.025186269572551767
936466.3590615323,20160420.0,0.022818939268318683
945736.9407395392,20160421.0,0.009899535192377185
938099.4013688482,20160422.0,-0.008075754516598144
924651.3825053228,20160425.0,-0.014335387959849899
921190.1356862787,20160426.0,-0.003743299241781184
909232.6049260716,20160427.0,-0.012980524103527014
909232.6049260716,20160428.0,0.0
903304.4182349469,20160429.0,-0.006519989119403324
919005.8928590445,20160502.0,0.017382262620588396
939009.7305433751,20160503.0,0.021766821997297958
939169.314917638,20160504.0,0.00016994964915917343
933262.0898493069,20160505.0,-0.006289840366908828
948322.5725302405,20160506.0,0.016137463253613538
936915.1240716663,20160509.0,-0.012029080387845004
936325.975331765,20160510.0,-0.0006288176215375474
947072.8042062204,20160511.0,0.0114776575226887
947072.8042062204,20160512.0,0.0
942639.6986236359,20160513.0,-0.004680849838466283
959544.6066431162,20160516.0,0.017933583790459284
961805.6584760295,20160517.0,0.00235638011746353
965910.4177134752,20160518.0,0.004267763660227963
970203.5968120636,20160519.0,0.004444696961392491
979407.5704402982,20160520.0,0.00948664142091138
970726.6462717402,20160523.0,-0.008863444015095201
972892.1537357712,20160524.0,0.0022308107770070418
971882.3308002412,20160525.0,-0.0010379597899442539
971882.3308002412,20160526.0,0.0
984827.4481262923,20160527.0,0.013319634399971303
984458.7690499795,20160531.0,-0.00037435905854799056
989203.3506202694,20160601.0,0.004819482257107044
1001309.4056565836,20160602.0,0.012238186444398114
1010449.278652688,20160603.0,0.009127920844917314
1010718.7050422195,20160606.0,0.0002666401918667294
1008155.9070254022,20160607.0,-0.0025356194597291326
1002599.8050312734,20160608.0,-0.005511153538267921
1002059.7118078005,20160609.0,-0.0005386927274099174
1002059.7118078005,20160610.0,0.0
1005844.623471648,20160613.0,0.003777131860754235
1004467.4387473272,20160614.0,-0.001369182368910482
