,Timestamp,Money
0,2016-04-01,1000000.0
1,2016-05-01,1000000.0
2,2016-06-01,1000000.0
3,2016-07-01,1000000.0
4,2016-08-01,1000000.0
5,2016-11-01,1000000.0
6,2016-12-01,1000000.0
7,2016-01-13,1000000.0
8,2016-01-14,1000000.0
9,2016-01-15,1000000.0
10,2016-01-19,1000000.0
11,2016-01-20,1000000.0
12,2016-01-21,1000000.0
13,2016-01-22,1000000.0
14,2016-01-25,1000000.0
15,2016-01-26,1000000.0
16,2016-01-27,1000000.0
17,2016-01-28,1000000.0
18,2016-01-29,1000000.0
19,2016-01-02,1000000.0
20,2016-02-02,1000000.0
21,2016-03-02,1000000.0
22,2016-04-02,1000000.0
23,2016-05-02,1000000.0
24,2016-08-02,1000000.0
25,2016-09-02,1000000.0
26,2016-10-02,1000000.0
27,2016-11-02,1000000.0
28,2016-12-02,1000000.0
29,2016-02-16,1000000.0
30,2016-02-17,998292.7034794998
31,2016-02-18,994048.6434367434
32,2016-02-19,985560.223153563
33,2016-02-22,1008747.9567661113
34,2016-02-23,990218.4317568678
35,2016-02-24,995601.3278796261
36,2016-02-25,1018064.3739727214
37,2016-02-26,1012267.4845640697
38,2016-02-29,998603.3977130605
39,2016-01-03,1035455.2181766182
40,2016-02-03,1039285.2745818379
41,2016-03-03,1044047.1031384293
42,2016-04-03,1050982.683704071
43,2016-07-03,1057193.576750259
44,2016-08-03,1046841.9330652903
45,2016-09-03,1050982.683704071
46,2016-10-03,1051396.6873416076
47,2016-11-03,1073859.7334347023
48,2016-03-14,1075723.112111146
49,2016-03-15,1078103.9384004704
50,2016-03-16,1086695.823362282
51,2016-03-17,1101912.7499308293
52,2016-03-18,1109676.482694556
53,2016-03-21,1112988.9362122403
54,2016-03-22,1109779.9473731874
55,2016-03-23,1100566.9948452094
56,2016-03-24,1101912.7499308293
57,2016-03-28,1103775.9733326181
58,2016-03-29,1113610.1590530626
59,2016-03-30,1122098.4240615873
60,2016-03-31,1119510.5131403452
61,2016-01-04,1130690.309023399
62,2016-04-04,1124479.2607025558
63,2016-05-04,1111022.248131821
64,2016-06-04,1119989.4294705093
65,2016-07-04,1138068.9161194053
66,2016-08-04,1134246.2824425802
67,2016-11-04,1136519.1528549972
68,2016-12-04,1119472.841715706
69,2016-04-13,1100566.8435863054
70,2016-04-14,1098603.89689959
71,2016-04-15,1103046.3676966869
72,2016-04-18,1091682.0569591408
73,2016-04-19,1086103.161286971
74,2016-04-20,1081660.8454569033
75,2016-04-21,1092508.5684396464
76,2016-04-22,1090442.3723874642
77,2016-04-25,1094161.5914006578
78,2016-04-26,1093128.415891053
79,2016-04-27,1086826.4130708738
80,2016-04-28,1108005.2712815574
81,2016-04-29,1114307.2741017363
82,2016-02-05,1102839.703667587
83,2016-03-05,1117303.2309998923
84,2016-04-05,1127427.7021987333
85,2016-05-05,1126188.017627057
86,2016-06-05,1116890.0579087213
87,2016-09-05,1120609.26659078
88,2016-10-05,1097674.1360536173
89,2016-11-05,1117303.2309998923
90,2016-12-05,1116063.5464282157
91,2016-05-13,1136105.9694326909
92,2016-05-16,1117716.5590580916
93,2016-05-17,1135279.4579521853
94,2016-05-18,1134556.2061682825
95,2016-05-19,1144370.9086084494
96,2016-05-20,1143544.3971279429
97,2016-05-23,1143337.7330988436
98,2016-05-24,1121848.9511624565
99,2016-05-25,1107178.7598010518
100,2016-05-26,1109244.9558532343
101,2016-05-27,1104905.8997197696
102,2016-05-31,1110033.1694005234
103,2016-01-06,1110852.2976519226
104,2016-02-06,1116483.6943126866
105,2016-03-06,1114231.1376961505
106,2016-06-06,1125698.5953337862
107,2016-07-06,1127746.4876342148
108,2016-08-06,1134708.832038778
109,2016-09-06,1132865.9112198716
110,2016-10-06,1120886.4805071293
111,2016-06-13,1107063.9753927728
112,2016-06-14,1097815.5437364902
113,2016-06-15,1100267.8530628702
114,2016-06-16,1091173.531607156
115,2016-06-17,1100778.8006536004
116,2016-06-20,1087699.3373176537
117,2016-06-21,1085042.6203436332
118,2016-06-22,1090049.5143485847
119,2016-06-23,1067160.5275936334
120,2016-06-24,1130412.0748900778
121,2016-06-27,1155140.434141971
122,2016-06-28,1128368.2845271558
123,2016-06-29,1099552.65109958
124,2016-06-30,1071827.5312709524
125,2016-01-07,1074911.4876903228
126,2016-05-07,1063968.4354586962
127,2016-06-07,1071628.5252637747
128,2016-07-07,1069738.3163864606
129,2016-08-07,1091105.136383395
130,2016-11-07,1082964.4179692427
131,2016-12-07,1070356.0694135893
132,2016-07-13,1064674.9357133112
133,2016-07-14,1077811.8426067585
134,2016-07-15,1077039.0646269708
135,2016-07-18,1078970.9323005746
136,2016-07-19,1082255.1179711325
137,2016-07-20,1085732.5416043124
138,2016-07-21,1078004.9260176483
139,2016-07-22,1083124.4424861071
140,2016-07-25,1076362.8331823694
141,2016-07-26,1074334.418973579
142,2016-07-27,1074141.1906704407
143,2016-07-28,1072209.3229968369
144,2016-07-29,1069794.45218177
145,2016-01-08,1067282.8899392674
146,2016-02-08,1058589.412961926
147,2016-03-08,1058817.7327743822
148,2016-04-08,1057950.1097913985
149,2016-05-08,1040500.491319967
150,2016-08-08,1040307.639080405
151,2016-09-08,1039632.7237267252
152,2016-10-08,1041850.1870577524
153,2016-11-08,1030474.1029995179
154,2016-12-08,1034330.4633022025
155,2016-08-15,1028353.1429137422
156,2016-08-16,1035680.1493993041
157,2016-08-17,1032402.2108457312
158,2016-08-18,1030088.5431306513
159,2016-08-19,1039921.9346012813
160,2016-08-22,1041850.1870577524
