model_used,a2c_sr,ppo_sr,td3_sr
 ,0.18759432503033904,0.513394016163849,0.3322293451770425
PPO,-0.9879774001302195,-0.8814287522672609,-1.0070300149566251
PPO,0.5708246853194776,0.6055811197368365,0.46057104892043593
PPO,0.36327089472874785,0.4751045143601618,0.496738260312909
TD3,-0.496350476150366,-0.3655954127138027,-0.14268160279295214
TD3,-0.05326934704688285,0.24202101302322082,0.1842750657469677
PPO,-1.2845388646813551,-1.1637963948012806,-1.513474766349427
PPO,-0.3077892525558079,-0.21447804326233302,-0.0940195262719691
TD3,-0.5845987940405679,-0.8741685384254483,-0.7568603769626845
A2C,0.6191529332072927,0.6214268354253941,0.6231799251569499
TD3,0.3294630054879234,0.04719141206384389,0.3691046099164047
TD3,0.34724996811575304,0.4706062122733497,0.6728660300580304
TD3,-0.21774436832461988,-0.2246414048239002,-0.15633978989773994
TD3,0.29051916267564054,0.5348178967544276,0.4885812455897904
PPO,-0.5271728467613404,-1.1123142174636729,-0.44388226263861963
TD3,-0.2631609561443165,-0.33754623211153306,-0.5005425252635145
A2C,0.8748880148550264,0.7938147764291648,0.7071848292408941
A2C,-0.10958789808156218,-0.25480149679222736,-0.11488483234259522
A2C,0.30493146680577193,0.015735639164577885,0.050323492412594484
A2C,1.8397710678874768,1.3403594730525312,1.3981042631762226
A2C,-1.0663910154247462,-1.5058813860691895,-1.4858743489068487
A2C,0.08605279160726088,-0.024905292302651517,0.596743422413559
TD3,-0.49166947418142826,-0.46676908704347275,-0.721082242877712
PPO,-0.6825409264578796,-0.551381434309268,-0.6362406450096192
PPO,0.007009386294956001,-0.14032272870869997,0.03626932986314515
TD3,-0.4927840763796544,-0.8036392285376341,-0.1671810275760561
TD3,-0.005526891128750276,-0.1513150396034337,0.3559519553184415
TD3,0.46701075582202944,0.35952677833795743,0.6710211230579167
TD3,0.5123578390252391,0.7442865409221121,0.4238699910301265
PPO,-0.9056855177724634,-0.8730902308185452,-0.8329079159642468
TD3,-1.2242806060462699,-1.2691051636385724,-1.1104514203159175
TD3,-0.15118134131290573,-0.04682141011638312,0.20803198104431012
TD3,0.35570784023236635,0.31009426778416965,0.11265051233464032
A2C,-0.011897582236479038,0.11033010435430815,-0.11909523674165085
PPO,2.0257538403148065,3.0255527643036615,3.523668720984903
TD3,-0.36592883950163063,-0.1939600420011517,-0.3292315874898581
PPO,-0.5416790716128402,-0.932391719685605,-0.4893952273610412
TD3,-0.5710632490378302,-0.6330552970322213,-0.4175966028506746
TD3,-0.047836529379305034,0.22018239519793528,-0.10902978761862005
PPO,0.39149653092878,-0.17039565288214423,0.09798649468015022
A2C,-0.6567440133289826,-0.6521348735686582,-0.5659366880710348
TD3,1.2298941475971796,0.9389688247239951,0.3085630443558004
A2C,0.27412703051515835,0.36554477493950466,0.2700780742293334
PPO,-0.46130665161347856,-0.42140428888785825,-0.6050081468294475
PPO,0.48912541689060113,0.2886189382022114,0.9732047793142081
TD3,0.3866811057272541,-0.5605541287976071,-0.3189276551613646
A2C,0.32694761648231074,0.13219137440339274,0.33276673926622247
TD3,-0.32221358022934865,-0.47164154000408326,-0.07962466361227684
TD3,0.07805684850843604,0.7249597729051525,0.3113953227481602
PPO,-0.43870239925044274,-0.947928678503151,-0.6440660184063545
A2C,0.9128056122608978,0.2741895465529227,0.7416934839210395
A2C,1.2583750801081515,1.2398705814156181,1.4411300729153693
TD3,0.21944560890415282,0.4356183098991934,0.1853851968028745
PPO,-0.22506148638779733,0.27890882686173146,-0.363036438037728
PPO,-0.5365809184122095,-0.3503272204956538,-0.8915262324300719
PPO,1.1664098106605123,0.3390108957839235,0.908588751186697
A2C,1.1444641990656046,1.0560391741261521,1.0055343511592683
A2C,0.9369558508203106,0.9922470636990385,1.066968223884836
TD3,-0.9265559133135561,-0.9728499572561584,-0.9293662846799936
A2C,-0.7538747720022856,-0.791181209926165,-0.985540304587867
A2C,0.36915678880111163,0.5407403498478242,0.5462594302541526
TD3,-0.4007666933041319,-0.24169746390498026,-0.16879810667725367
TD3,0.09213759866382978,-0.03758989900274967,0.09603639075242353
TD3,0.4279356126967671,0.5957217910032112,0.5402283732597223
PPO,-1.0925969975016967,-0.605801074868246,-0.9541959726179434
PPO,0.7102160089390677,0.6691626271760687,0.7451094029438696
TD3,-0.578080074585456,-0.4272254818219226,-0.6546762858288647
PPO,0.537938411887036,0.3419050569874049,0.3356714344365203
A2C,-1.0058646055228737,-1.191499298270487,-0.6883795643762212
TD3,1.1320526704043523,0.7844950738780774,0.7303240564683723
A2C,1.1202473813391431,0.4564302157163483,0.6518188200016121
A2C,-0.5054670008467869,-0.7747503792247402,-0.05674671162571601
TD3,0.299509954849824,0.34637470721669616,0.3425129822483203
PPO,-0.43116372670053227,-0.8769788848142576,-0.9805361875597313
A2C,0.5889348319901422,0.4801237734203717,0.4483644405948896
A2C,-0.2674459339429469,0.0167722568888323,-0.40272173102262054
PPO,-0.0623959732969658,-0.08847102904330487,0.1804691301201369
TD3,-0.6985002324290419,-0.6923608498399222,-0.7022662458986829
PPO,0.628230857083414,0.6140478569779168,0.6270430561467257
A2C,-1.0044688845490026,-0.26436296474578797,-0.10711539382472486
TD3,-0.699307165779706,-0.6956254793203556,-0.6962614849367825
PPO,0.4833631882512061,0.15457214656240711,0.37037335635988666
A2C,1.2397742364327087,1.5548894221432359,0.8405312091738224
PPO,0.7119229051609203,0.113441218356714,0.9022894937319241
TD3,-0.9300931605356342,-0.8003708585771152,-0.8123393938521043
PPO,-0.7942358646389235,-0.8062524165671716,-0.76405833455756
TD3,-0.005826330682296435,-0.3555529792199937,-0.7102446676583646
A2C,-0.034958075732836276,0.6044071955879825,0.3633603366858279
PPO,-0.9594223379558139,0.5603342978189328,0.2122603644370868
PPO,0.5163997595877521,0.37364092169681096,0.48351380016105927
A2C,0.5220347610787702,0.5572204144907261,0.511720617820367
PPO,-0.7654594482891889,-0.8315413131702256,-0.7870019396401833
A2C,-0.7583754111133107,-0.9046366248977256,-0.7603955051490342
A2C,-0.3002433599758308,0.3460990911176755,-0.4506152725776206
PPO,0.43640598844393863,0.7006039734320817,0.18456618040087008
PPO,-0.04508823350058666,-0.13338304973660642,-0.4235257928359132
A2C,-0.29179150126108233,-0.442233337265669,-0.4482688581503968
A2C,-0.12688621558082525,-0.34055427397831944,-0.14946640417683466
A2C,-0.9738208750367459,-0.9009060170142028,-0.7851000544982594
TD3,0.5998489796078394,0.6201082804921391,0.6016023144689945
PPO,0.4989876119059755,0.5290767857517841,0.5707316718783632
TD3,0.5644525028314462,0.4713504226184132,0.4907643466395915
A2C,-0.7692370339695602,-0.9018901085371146,-0.8708165938023396
A2C,0.01605538211843507,0.5681914995272674,-1.6735262524603332
PPO,-0.753804793522696,-0.784829161803666,-0.7682001833011589
A2C,0.2607066485188328,-0.8567658563873273,-0.30551849733468545
A2C,0.5253978518260874,0.4941060125310578,0.501720191313091
A2C,-0.28197837376674384,-0.1007104552522678,-1.0848180142240642
PPO,-0.7686101220740795,-0.7338800842571038,-1.005934036184352
PPO,0.6166215874018683,0.6051568915297553,0.6090063944298034
A2C,-1.1997237792078308,-1.19142189308333,-1.1331789381796826
TD3,0.6479757570613163,0.6484777351988142,0.6500816153039014
TD3,-0.6765724327020911,-0.677790040991909,-0.6765255682377043
TD3,-0.6822652010309261,-0.6812248812473473,-0.6814962774667758
PPO,-0.748154243589593,0.5610075404734962,0.5770966660474495
TD3,-0.7140154508963142,-0.7028286506315862,-0.7104896523515501
PPO,0.6056123106716657,0.6160338856819529,0.6100513183436649
PPO,0.8042701800386504,0.5226318541099225,0.8211771987910269
TD3,0.0,0.0,0.0
