model_used,a2c_sr,ppo_sr,td3_sr
 ,-0.011087074296775825,0.03964205110876549,0.04216674223051356
TD3,-0.046029274464221746,0.18960404764470798,0.13805943405229226
PPO,-0.021701536854011407,-0.08022440701049349,0.07422015962454934
TD3,-0.06115008389053672,0.041539325167305616,-0.09656712486154587
PPO,0.5146152896554318,0.5494596141643023,0.33009852319706706
PPO,0.3903196571318143,0.15552919525058737,0.27040039710077296
A2C,0.1253737416866285,0.1071181615328114,0.26795839714269626
TD3,0.255314235548617,0.41256218285738766,0.30397690795699395
PPO,0.4667181526123611,0.370506865266138,0.5623324720339966
TD3,0.0034385273822569134,-0.05265050234855481,-0.04093898537832286
A2C,-0.25343108480923143,-0.17465171496290888,-0.05920476898857865
TD3,0.22080258962819854,0.12461605517871226,0.10073752911867802
A2C,-0.31334825761584456,-0.3091328500527535,-0.36526944131404204
PPO,0.10657727794499318,0.2741412520327189,0.08160165979189439
PPO,0.329413766186626,0.15735450929910313,0.3699160778728044
TD3,-0.3837781560363792,-0.040788062351103,-0.03212222991881664
TD3,-0.03205813961403745,-0.12809586892644317,-0.416290569000519
A2C,-0.41945297053827846,-0.4507673839684456,-0.4288383602240507
A2C,0.0,0.0,0.0
