account_value,datadate,daily_return
1000000.0,20160104.0,
1000042.563103903,20160105.0,4.256310390293727e-05
1000058.3949634804,20160106.0,1.583118575299025e-05
998809.120789652,20160107.0,-0.001249201226768415
1002599.0527716344,20160108.0,0.003794450714452946
1002430.6115360779,20160111.0,-0.0001680045827799903
1002430.6115360779,20160112.0,0.0
1002430.6115360779,20160113.0,0.0
1002310.0311080795,20160114.0,-0.00012028805446562263
1002270.5455707256,20160115.0,-3.939453475310106e-05
1002270.5455707256,20160119.0,0.0
1002514.3430306215,20160120.0,0.00024324516067375512
1002450.0346914992,20160121.0,-6.414705143065191e-05
1002450.0346914992,20160122.0,0.0
1002450.0346914992,20160125.0,0.0
1002450.0346914992,20160126.0,0.0
1002450.0346914992,20160127.0,0.0
1002450.0346914992,20160128.0,0.0
1002450.0346914992,20160129.0,0.0
1002450.0346914992,20160201.0,0.0
1002450.0346914992,20160202.0,0.0
1003242.8046356344,20160203.0,0.0007908323773755388
1003190.3503340669,20160204.0,-5.2284752330322704e-05
1003190.3503340669,20160205.0,0.0
1003190.3503340669,20160208.0,0.0
1003190.3503340669,20160209.0,0.0
1003190.3503340669,20160210.0,0.0
1003190.3503340669,20160211.0,0.0
1003190.3503340669,20160212.0,0.0
1002977.2361614888,20160216.0,-0.00021243642595558665
1002977.2361614888,20160217.0,0.0
1004379.7533764878,20160218.0,0.001398353984948475
1000534.6852812348,20160219.0,-0.0038283010806686724
992278.8701883777,20160222.0,-0.0082514031890224
1006007.0684402387,20160223.0,0.013835020239073348
998290.1453119123,20160224.0,-0.00767084384435901
989012.4973881148,20160225.0,-0.009293538524211997
980394.5857051208,20160226.0,-0.008713652967736074
979414.2281398756,20160229.0,-0.0009999622392244945
979414.2281398756,20160301.0,0.0
979414.2281398756,20160302.0,0.0
978702.9459988612,20160303.0,-0.0007262321912202552
980940.7859825095,20160304.0,0.002286536474419565
975720.396156527,20160307.0,-0.0053218195232384025
969757.6742414356,20160308.0,-0.006111096927541193
975618.1887724884,20160309.0,0.006043277291553295
982723.9021527764,20160310.0,0.007283293261709511
992530.532429254,20160311.0,0.009979028957161962
988541.4755479159,20160314.0,-0.00401907724851025
985702.6581259958,20160315.0,-0.002871723131643633
985702.6581259958,20160316.0,0.0
988142.7820934072,20160317.0,0.0024755172843407003
978857.1779795678,20160318.0,-0.009397026707180567
964053.0226201924,20160321.0,-0.015123917658684594
964093.0785834828,20160322.0,4.154954380153342e-05
951766.0581966371,20160323.0,-0.012786130987432753
929528.7154921887,20160324.0,-0.02336429473707302
919761.0568820792,20160328.0,-0.010508183821881678
921994.825123489,20160329.0,0.002428639726258952
924863.3307441938,20160330.0,0.003111194924896088
924863.3307441938,20160331.0,0.0
915408.9906693136,20160401.0,-0.010222418556991242
896749.4307991924,20160404.0,-0.020383850344836585
895208.4870363851,20160405.0,-0.0017183660339030737
879542.337984458,20160406.0,-0.01750000059068968
889903.3810490227,20160407.0,0.011780039023826738
900240.8993208309,20160408.0,0.011616450158468128
888754.1371594244,20160411.0,-0.01275965374387289
902827.783554232,20160412.0,0.015835252750314943
892930.7212019901,20160413.0,-0.010962292623826086
892930.7212019901,20160414.0,0.0
919642.4326533274,20160415.0,0.029914651626477884
919790.6717259708,20160418.0,0.0001611920757242924
914314.2713020364,20160419.0,-0.005953963866211054
933512.1273077496,20160420.0,0.02099699918100839
942075.2215267613,20160421.0,0.00917298658316068
932343.3057163146,20160422.0,-0.010330295912756138
924738.9954115071,20160425.0,-0.008156126888222981
922923.4919785487,20160426.0,-0.0019632603815420424
912044.0859810105,20160427.0,-0.01178798252736546
912044.0859810105,20160428.0,0.0
919333.062371398,20160429.0,0.007991912345495233
933346.3714361305,20160502.0,0.015242907753785673
949110.4022980784,20160503.0,0.016889797126110828
949896.72259002,20160504.0,0.0008284813758627774
947957.3365760272,20160505.0,-0.002041680919484423
958689.3085277544,20160506.0,0.01132115501156461
946105.9338590165,20160509.0,-0.013125602379004286
950274.5152911029,20160510.0,0.004406040891302032
962250.6404624169,20160511.0,0.012602805798327843
962250.6404624169,20160512.0,0.0
954477.3185987492,20160513.0,-0.008078271436568918
976027.4029696871,20160516.0,0.022577890486256136
977910.2223684492,20160517.0,0.0019290640744649146
982032.4228265393,20160518.0,0.004215315847815093
988432.6768856826,20160519.0,0.006517355140599035
995046.082324408,20160520.0,0.006690800085204174
979279.4128651959,20160523.0,-0.015845165102686964
982285.6310798577,20160524.0,0.003069826828959954
982661.9833265506,20160525.0,0.0003831393179183351
982661.9833265506,20160526.0,0.0
992505.2945169755,20160527.0,0.010016985858253058
991941.8677609236,20160531.0,-0.0005676813606583231
996329.1628138672,20160601.0,0.004422935653322968
1008958.9783965227,20160602.0,0.012676348393723558
1017210.9854825031,20160603.0,0.008178733984898878
1013250.3287505264,20160606.0,-0.0038936432937735077
1010204.3425248552,20160607.0,-0.0030061537008602146
1003422.9500015054,20160608.0,-0.006712891875321647
1007379.4328489808,20160609.0,0.003942986202846388
1007379.4328489808,20160610.0,0.0
1012959.2255486584,20160613.0,0.005538918621653233
1018818.3844585344,20160614.0,0.00578420015544312
1015887.570590225,20160615.0,-0.002876679409222649
1018770.6523670922,20160616.0,0.0028379929633277623
1012841.2661233958,20160617.0,-0.005820138448157763
1004738.8077919431,20160620.0,-0.007999731648439368
1013225.0226125814,20160621.0,0.008446189949891547
1004174.859991927,20160622.0,-0.008932036239411745
1007822.9931368892,20160623.0,0.003632966020471251
1007822.9931368892,20160624.0,0.0
1020961.3969327679,20160627.0,0.013036419971908852
